date,volume,turnover,open,open,high,lable,low,close
2023/2/10 10:00,60389,879900890,725056,14555,14560,14435,14435,14440
2023/2/10 10:10,22783,329500565,724878,14440,14490,14440,14440,14475
2023/2/10 10:31,21727,316097840,724196,14475,14530,14475,14475,14515
2023/2/10 10:40,18948,276605245,723920,14505,14535,14480,14480,14480
2023/2/10 10:50,11806,171719805,723822,14480,14505,14475,14475,14485
2023/2/10 11:00,8711,127616150,724497,14480,14520,14480,14480,14515
2023/2/10 11:10,9755,140232635,724160,14515,14515,14480,14480,14485
2023/2/10 11:20,11583,167685810,724225,14485,14485,14450,14450,14470
2023/2/10 13:30,18094,264768910,723234,14475,14495,14450,14450,14495
2023/2/10 13:40,14467,211724545,723584,14500,14515,14475,14475,14505
2023/2/10 13:50,9406,135262985,722627,14510,14520,14490,14490,14510
2023/2/10 14:00,14760,215938800,721906,14510,14535,14500,14500,14530
2023/2/10 14:10,7184,103008655,721876,14530,14530,14505,14505,14505
2023/2/10 14:20,7001,102389625,721521,14505,14530,14505,14505,14510
2023/2/10 14:30,12201,178439625,721302,14510,14515,14475,14475,14490
2023/2/10 14:40,7889,115249530,720583,14485,14505,14480,14480,14485
2023/2/10 14:50,19303,282209860,715533,14490,14505,14470,14470,14480
2023/2/10 20:55,2401,34814500,714948,14480,14500,14480,14480,14500
2023/2/10 21:00,30003,434719460,715983,14495,14520,14450,14450,14460
2023/2/10 21:10,16139,233368680,717773,14460,14480,14440,14440,14465
2023/2/10 21:20,8843,128046640,719198,14465,14485,14460,14460,14460
2023/2/10 21:30,9072,131362560,719608,14460,14500,14460,14460,14500
2023/2/10 21:40,7104,102865920,719735,14495,14505,14480,14480,14495
2023/2/10 21:50,7106,102894880,719763,14495,14500,14470,14470,14475
2023/2/10 22:00,8256,119546880,719701,14475,14485,14450,14450,14450
2023/2/10 22:10,5014,72602720,719681,14450,14475,14450,14450,14470
2023/2/10 22:20,3942,57080160,719507,14470,14475,14460,14460,14470
2023/2/10 22:30,6420,92961600,719074,14470,14490,14465,14465,14470
2023/2/10 22:40,8122,117044450,720505,14470,14475,14450,14450,14470
2023/2/10 22:50,8644,125121900,718182,14470,14475,14450,14450,14460
2023/2/13 9:00,56094,809303250,716511,14455,14475,14350,14350,14425
2023/2/13 9:10,16790,241813650,717215,14430,14445,14415,14415,14420
2023/2/13 9:20,14494,209510770,717491,14420,14440,14400,14400,14425
2023/2/13 9:30,15773,226877630,718217,14430,14460,14410,14410,14455
2023/2/13 9:40,12425,179541250,717983,14450,14475,14445,14445,14445
2023/2/13 9:50,6829,98679050,717546,14445,14465,14430,14430,14465
2023/2/13 10:00,9687,139977150,717254,14465,14475,14440,14440,14440
2023/2/13 10:10,4528,65429600,717348,14445,14450,14430,14430,14440
2023/2/13 10:31,8285,119718250,717766,14440,14450,14415,14415,14425
2023/2/13 10:40,6008,86815600,718191,14420,14435,14415,14415,14430
2023/2/13 10:50,3910,56499500,718497,14425,14445,14420,14420,14425
2023/2/13 11:00,8707,125816150,719162,14425,14430,14405,14405,14415
2023/2/13 11:10,21133,304906425,720874,14415,14420,14360,14360,14360
2023/2/13 11:20,19231,276166995,722718,14355,14385,14335,14335,14340
2023/2/13 13:30,30004,429708120,723968,14330,14350,14300,14300,14310
2023/2/13 13:40,11543,165490635,724376,14310,14350,14305,14305,14330
2023/2/13 13:50,10012,144423100,724519,14330,14340,14310,14310,14335
2023/2/13 14:00,12426,178474515,724054,14335,14375,14330,14330,14370
2023/2/13 14:10,7630,110024600,722668,14365,14380,14350,14350,14365
2023/2/13 14:20,12389,178649380,721910,14365,14375,14350,14350,14365
2023/2/13 14:30,12790,182323030,719350,14365,14385,14355,14355,14360
2023/2/13 14:40,9076,130830540,719497,14355,14360,14325,14325,14330
2023/2/13 14:50,16531,236057560,717102,14330,14340,14310,14310,14315
2023/2/13 20:55,1031,14810315,716806,14315,14365,14315,14315,14365
2023/2/13 21:00,26627,382081985,716603,14360,14365,14330,14330,14355
2023/2/13 21:10,14143,202743045,718380,14360,14365,14315,14315,14320
2023/2/13 21:20,26915,384721355,718934,14325,14325,14265,14265,14275
2023/2/13 21:30,11463,164017590,719434,14270,14305,14270,14270,14300
2023/2/13 21:40,5807,83003230,720086,14295,14300,14280,14280,14295
2023/2/13 21:50,6582,94221330,721030,14290,14295,14270,14270,14280
2023/2/13 22:00,5047,72247805,721155,14285,14290,14270,14270,14280
2023/2/13 22:10,25489,363028475,721835,14280,14280,14220,14220,14250
2023/2/13 22:20,10915,155604805,720490,14245,14260,14225,14225,14250
2023/2/13 22:30,18517,263175155,720039,14245,14255,14210,14210,14240
2023/2/13 22:40,11554,165048890,719513,14240,14255,14225,14225,14235
2023/2/13 22:50,10322,146577710,718641,14235,14240,14210,14210,14215
2023/2/14 9:00,18704,266127540,717651,14220,14255,14215,14215,14235
2023/2/14 9:10,9138,130444950,718895,14235,14240,14215,14215,14220
2023/2/14 9:20,23860,338340360,720440,14220,14225,14185,14185,14190
2023/2/14 9:30,32754,464809975,719881,14185,14195,14130,14130,14140
2023/2/14 9:40,32023,451707885,723638,14135,14145,14085,14085,14100
2023/2/14 9:50,26425,374573295,722941,14100,14155,14095,14095,14140
2023/2/14 10:00,16345,230941800,723239,14140,14145,14105,14105,14110
2023/2/14 10:10,12986,184145680,723844,14110,14145,14095,14095,14135
2023/2/14 10:31,8033,112455860,724403,14140,14140,14110,14110,14125
2023/2/14 10:40,18757,266630755,722629,14120,14180,14120,14120,14175
2023/2/14 10:50,26908,382497220,721963,14170,14230,14165,14165,14220
2023/2/14 11:00,17722,251918230,724014,14220,14235,14205,14205,14205
2023/2/14 11:10,11662,165775330,723084,14205,14210,14180,14180,14190
2023/2/14 11:20,7685,109171850,722838,14190,14210,14180,14180,14185
2023/2/14 13:30,14342,203799820,721917,14190,14190,14155,14155,14160
2023/2/14 13:40,10460,148636600,721252,14160,14170,14145,14145,14165
2023/2/14 13:50,15192,215878320,719769,14165,14220,14160,14160,14210
2023/2/14 14:00,13077,185824170,720600,14210,14215,14185,14185,14205
2023/2/14 14:10,17571,249683910,719094,14200,14240,14195,14195,14225
2023/2/14 14:20,22210,315604100,718702,14225,14270,14220,14220,14250
2023/2/14 14:30,15132,217752710,718970,14250,14280,14235,14235,14275
2023/2/14 14:40,21742,309062530,719867,14275,14310,14265,14265,14275
2023/2/14 14:50,21916,314481220,716771,14280,14320,14275,14275,14310
2023/2/14 20:55,1365,19519500,715868,14310,14310,14300,14300,14300
2023/2/14 21:00,44077,631437150,720040,14300,14360,14275,14275,14325
2023/2/14 21:10,21007,300925275,719613,14325,14350,14290,14290,14335
2023/2/14 21:20,28106,404036775,720176,14340,14395,14335,14335,14380
2023/2/14 21:30,48333,696667420,718217,14375,14460,14345,14345,14420
2023/2/14 21:40,21323,307125950,716104,14420,14430,14400,14400,14420
2023/2/14 21:50,9549,138087930,715873,14420,14435,14415,14415,14415
2023/2/14 22:00,11831,170070625,716173,14420,14445,14420,14420,14430
2023/2/14 22:10,16599,239621575,715342,14425,14430,14390,14390,14400
2023/2/14 22:20,11821,169985980,715078,14400,14415,14385,14385,14390
2023/2/14 22:30,15055,216490900,714816,14385,14405,14370,14370,14385
2023/2/14 22:40,9460,136034800,714820,14385,14420,14380,14380,14410
2023/2/14 22:50,8484,123234970,712013,14410,14425,14400,14400,14420
2023/2/15 9:00,15828,227685780,711614,14445,14445,14400,14400,14420
2023/2/15 9:10,8639,124272015,711735,14420,14430,14385,14385,14410
2023/2/15 9:20,8472,121869720,710356,14405,14430,14400,14400,14420
2023/2/15 9:30,9338,135773565,711072,14420,14425,14385,14385,14400
2023/2/15 9:40,5211,74986290,711163,14405,14410,14380,14380,14385
2023/2/15 9:50,8475,121955250,711249,14385,14400,14375,14375,14380
2023/2/15 10:00,7039,101291210,711050,14385,14405,14380,14380,14395
2023/2/15 10:10,3452,49674280,711081,14400,14405,14380,14380,14380
2023/2/15 10:31,13368,190731360,710227,14380,14385,14345,14345,14385
2023/2/15 10:40,7629,109743165,710121,14380,14385,14350,14350,14365
2023/2/15 10:50,13205,189953925,709317,14370,14370,14335,14335,14360
2023/2/15 11:00,6481,93229185,709156,14355,14370,14340,14340,14345
2023/2/15 11:10,4835,69551475,709062,14340,14360,14340,14340,14350
2023/2/15 11:20,6727,96767895,708689,14345,14360,14330,14330,14345
2023/2/15 13:30,15253,219082645,708970,14340,14340,14305,14305,14320
2023/2/15 13:40,16735,240649300,710743,14320,14330,14280,14280,14305
2023/2/15 13:50,18213,259823390,708886,14300,14310,14260,14260,14275
